,time,progenitor_pop_size,whole_pop_size,size_type_PostMitotic,neuron_pop_size
0,49.0,64.0,64.0,0.0,0.0
1,49.5,64.0,64.0,0.0,0.0
2,50.0,81.4,81.4,0.0,0.0
3,50.5,101.7,101.7,0.2,0.0
4,51.0,122.3,122.5,2.9,0.20000000000000284
5,51.5,146.6,149.7,8.2,3.0999999999999943
6,52.0,171.1,182.4,11.4,11.300000000000011
7,52.5,194.0,216.7,16.5,22.69999999999999
8,53.0,213.2,252.4,19.7,39.20000000000002
9,53.5,239.2,298.1,26.7,58.900000000000034
10,54.0,262.4,348.0,27.1,85.60000000000002
11,54.5,284.3,397.0,28.1,112.69999999999999
12,55.0,308.2,449.0,32.6,140.8
13,55.5,333.7,507.1,40.2,173.40000000000003
14,56.0,355.7,569.3,39.7,213.59999999999997
15,56.5,382.7,636.0,42.0,253.3
16,57.0,408.2,703.5,45.7,295.3
17,57.5,434.2,775.2,44.4,341.00000000000006
18,58.0,467.2,852.6,53.1,385.40000000000003
19,58.5,492.6,931.1,54.0,438.5
20,59.0,521.9,1014.4,56.0,492.5
21,59.5,553.7,1102.2,59.9,548.5
22,60.0,586.1,1194.5,65.9,608.4
23,60.5,612.5,1286.8,58.7,674.3
24,61.0,655.6,1388.6,77.9,732.9999999999999
25,61.5,685.7,1496.6,76.5,810.8999999999999
26,62.0,719.6,1607.0,81.3,887.4
27,62.5,750.5,1719.2,82.5,968.7
28,63.0,791.0,1842.2,90.9,1051.2
29,63.5,821.4,1963.5,96.4,1142.1
30,64.0,847.9,2086.4,97.4,1238.5
31,64.5,883.9,2219.8,101.5,1335.9
32,65.0,930.2,2367.6,119.7,1437.3999999999999
33,65.5,947.4,2504.5,110.7,1557.1
34,66.0,979.5,2647.3,118.3,1667.8000000000002
35,66.5,1007.0,2793.1,120.7,1786.1
36,67.0,1041.5,2948.3,134.1,1906.8000000000002
37,67.5,1065.6,3106.5,133.8,2040.9
38,68.0,1094.1,3268.8,144.1,2174.7000000000003
39,68.5,1118.8,3437.6,153.9,2318.8
40,69.0,1132.2,3604.9,160.1,2472.7
41,69.5,1143.4,3776.2,168.3,2632.7999999999997
42,70.0,1155.4,3956.5,168.3,2801.1
43,70.5,1168.0,4137.4,177.6,2969.3999999999996
44,71.0,1175.6,4322.6,178.6,3147.0000000000005
45,71.5,1170.5,4496.1,171.5,3325.6000000000004
46,72.0,1184.6,4681.7,192.8,3497.1
47,72.5,1180.4,4870.3,196.5,3689.9
48,73.0,1172.1,5058.5,203.5,3886.4
49,73.5,1154.5,5244.4,196.0,4089.8999999999996
50,74.0,1145.0,5430.9,197.3,4285.9
51,74.5,1130.8,5614.0,193.9,4483.2
52,75.0,1122.6,5799.7,196.9,4677.1
53,75.5,1105.5,5979.5,204.0,4874.0
54,76.0,1086.2,6164.2,208.0,5078.0
55,76.5,1056.2,6342.2,200.6,5286.0
56,77.0,1037.9,6524.5,204.4,5486.6
57,77.5,1004.8,6695.8,198.4,5691.0
58,78.0,970.1,6859.5,180.2,5889.4
59,78.5,957.7,7027.3,189.0,6069.6
60,79.0,925.9,7184.5,171.6,6258.6
61,79.5,908.4,7338.6,163.6,6430.200000000001
62,80.0,889.1,7482.9,161.9,6593.799999999999
63,80.5,874.6,7630.3,169.2,6755.7
64,81.0,850.9,7775.8,160.0,6924.900000000001
65,81.5,830.2,7915.1,158.8,7084.900000000001
66,82.0,798.3,8042.0,131.3,7243.7
67,82.5,794.0,8169.0,135.1,7375.0
68,83.0,781.6,8291.7,134.9,7510.1
69,83.5,764.4,8409.4,127.2,7645.0
70,84.0,757.1,8529.3,127.2,7772.199999999999
71,84.5,738.1,8637.5,112.5,7899.4
72,85.0,729.9,8741.8,105.6,8011.9
73,85.5,723.9,8841.4,98.4,8117.5
74,86.0,720.5,8936.4,95.9,8215.9
75,86.5,716.4,9028.2,93.2,8311.800000000001
76,87.0,708.9,9113.9,80.0,8405.0
77,87.5,714.2,9199.2,86.2,8485.0
78,88.0,708.1,9279.3,80.1,8571.199999999999
79,88.5,702.9,9354.2,71.4,8651.300000000001
80,89.0,702.5,9425.2,68.3,8722.7
81,89.5,705.2,9496.2,67.7,8791.0
82,90.0,703.1,9561.8,61.1,8858.699999999999
